Model,Fold,R2,MAE,RMSE
RandomForest,1,0.9894929868785922,85.56297516550232,149.90245454410078
RandomForest,2,0.9563760222524741,111.00740869463999,322.03402850477175
RandomForest,3,0.9914501489181305,88.16145390909142,133.24439327384252
RandomForest,4,0.9903358613837158,73.90605113849759,128.26424683665252
RandomForest,5,0.9884375801765619,78.62961286150235,145.3442324836413
ExtraTrees,1,0.9897073788775839,77.7460836993005,148.36521834929292
ExtraTrees,2,0.9598739565179613,102.9133515780896,308.85334056725884
ExtraTrees,3,0.9938484662789961,70.23210476223827,113.021579647165
ExtraTrees,4,0.9945121093263767,55.526005312206365,96.65554312929066
ExtraTrees,5,0.992395176347942,65.3840379201882,117.87399680160134
HistGradientBoosting,1,0.9838790217080214,94.4276449615611,185.67986147328966
HistGradientBoosting,2,0.9535657567334157,102.86245009462883,332.24489715412477
HistGradientBoosting,3,0.9911455833051397,79.44397691557168,135.5968643164212
HistGradientBoosting,4,0.9894470971796085,71.34098150678143,134.03246643864748
HistGradientBoosting,5,0.9873379516023597,87.62496183934269,152.09867135741902
SVR,1,0.4597333811479327,662.2689600712831,1074.9126510409972
SVR,2,0.44299235317578733,663.0579530528487,1150.720134164507
SVR,3,0.5882800146490917,616.9095204696615,924.6356686730053
SVR,4,0.6289062848059792,497.8604537091613,794.814606549966
SVR,5,0.6199259979010667,602.6803029392945,833.3117732661913
GradientBoosting,1,0.9887746405234566,100.36402899183503,154.9420278563391
GradientBoosting,2,0.9651621027923627,109.50803983657109,287.7829764327508
GradientBoosting,3,0.9907388477428275,90.15721489631659,138.67627915904228
GradientBoosting,4,0.9875503555583821,81.57298360726385,145.58026788259986
GradientBoosting,5,0.9905223890336259,85.97956703814783,131.58999630473787
XGBoost,1,0.9927086681077482,69.92207274058948,124.87414867817893
XGBoost,2,0.9711360603008595,83.69839804994807,261.9491162607523
XGBoost,3,0.9943008241082016,60.464388359059164,108.78667393241177
XGBoost,4,0.9944483519511342,58.57522185230524,97.21538557083329
XGBoost,5,0.9944785990713179,59.220747047273875,100.4380049980815
