Model,Fold,R2,MAE,RMSE
LinearRegression,1,0.6177593569919083,668.918274357442,904.1438620311433
LinearRegression,2,0.6556812724337797,670.3732743965049,904.7309672950244
LinearRegression,3,0.6433628810501748,653.1718048294687,860.5635353615784
LinearRegression,4,0.6256002488744232,614.3053714902744,798.3472170744259
LinearRegression,5,0.48559018076342597,741.6115832061649,969.4559059679307
Ridge,1,0.6066297327107346,662.2463970798767,917.2123046915166
Ridge,2,0.647882018361623,660.8148374850443,914.920239982514
Ridge,3,0.6445673838316222,648.7439859812506,859.1090767432587
Ridge,4,0.6260076967877781,601.4090489515028,797.9126902693615
Ridge,5,0.48712940304974983,736.2084168458528,968.004411455702
Lasso,1,0.6177568326703456,668.9163991105878,904.1468475143987
Lasso,2,0.655680492771681,670.3693808474693,904.731991613467
Lasso,3,0.6433646839063674,653.1679528582378,860.5613602174653
Lasso,4,0.6255999491426248,614.3017853306953,798.3475366392742
Lasso,5,0.4855924799992052,741.6083983803819,969.4537393975108
ElasticNet,1,0.6148920464860408,665.2327991142782,907.5286638166413
ElasticNet,2,0.6538318001495624,664.9747931961242,907.1575473411373
ElasticNet,3,0.6447192883167955,649.6835698702424,858.925474475814
ElasticNet,4,0.627154067123622,606.0636072010001,796.688860995312
ElasticNet,5,0.4870122091006479,738.2140101984056,968.1150024902352
Polynomial_deg2,1,0.7937921433225777,479.3001536378543,664.0820032956257
Polynomial_deg2,2,0.8643609469058133,412.8070821285148,567.8472252371131
Polynomial_deg2,3,0.8160622513201116,432.8560097857689,618.023660094402
Polynomial_deg2,4,0.8050469873336774,404.3472809363673,576.0882474948208
Polynomial_deg2,5,0.7547789312540415,471.0621877003755,669.3485488726536
Polynomial_deg3,1,0.9557777324540722,221.73780856192357,307.5315029695113
Polynomial_deg3,2,0.9330511721328401,252.94006031139597,398.9427915288428
Polynomial_deg3,3,0.9454197808687205,234.45914474661294,336.65673399565014
Polynomial_deg3,4,0.9510746812409562,210.0276480224658,288.5963751825237
Polynomial_deg3,5,0.9440684345214113,224.35513547834208,319.6700310790213
Piecewise_ElasticNet,1,0.8024834639040026,482.4912714275034,649.93636507002
Piecewise_ElasticNet,2,0.7799340754300614,509.6248109408378,723.295117906862
Piecewise_ElasticNet,3,0.832597924950291,414.5394424045129,589.5899702070742
Piecewise_ElasticNet,4,0.8094797484842353,413.9219373293602,569.5011601590007
Piecewise_ElasticNet,5,0.7545766952503006,470.90302867461594,669.6245008501164
GAM,1,0.9006130724435376,314.8387891634927,461.0348330950671
GAM,2,0.8407305633735602,382.73460270864234,615.3261262261216
GAM,3,0.8949594243900767,307.1356363049747,467.03369524563504
GAM,4,0.8938301447284575,282.561768759922,425.1328387788938
GAM,5,0.8717459433998886,320.78238433382813,484.0709169902005
SymbolicRegression,1,0.5471185935720579,716.5195567968063,984.1501253959148
SymbolicRegression,2,0.5116204050995995,719.8060395561552,1077.5015125375448
SymbolicRegression,3,0.6189991398880119,693.0861570566756,889.4727478210756
SymbolicRegression,4,0.6459138641205349,569.1407440831904,776.3874405238339
SymbolicRegression,5,0.35310848547771667,796.9945491532397,1087.1492308860247
